V1            | V2                      | V3
sand-cast     | sand-cast               | sand-cast                | відливати метал в піщану форму
saw           | sawed                   | sawed / sawn             | пиляти, розпиляти
say           | said                    | said                     | говорити, сказати
see           | saw                     | seen                     | бачити, дивитися
seek          | sought                  | sought                   | шукати, домагатися
sell          | sold                    | sold                     | продавати
send          | sent                    | sent                     | посилати, відправляти
set           | set                     | set                      | поміщати, ставити
sew           | sewed                   | sewn / sewed             | шити, штопати
shake         | shook                   | shaken                   | трясти, струшувати
shave         | shaved                  | shaved / shaven          | голитися
shear         | sheared                 | sheared / shorn          | різати, вистригати, розсікати
shed          | shed                    | shed                     | проливати, втрачати, скидати
shine         | shined / shone          | shined / shone           | сяяти, світити
shit          | shit / shat / shitted   | shit/ shat / shitted     | какати, гадити, срати
shoe          | shod                    | shod                     | взувати, підкувати, підбивати
shoot         | shot                    | shot                     | стріляти, полювати
show          | showed                  | shown / showed           | показувати, показуватися, виставляти
shrink        | shrank / shrunk         | shrunk / shrunken        | сідати, давати усадку, стискатися
shut          | shut                    | shut                     | закривати
sight-read    | sight-read              | sight-read               | грати, співати з листа, читати ноти, текст з листа
sing          | sang                    | sung                     | співати
sink          | sank / sunk             | sunk                     | тонути, опускатися, занурюватися
sit           | sat                     | sat                      | сидіти, садити, перебувати
slay          | slew / slayed           | slain / slayed           | вбивати, знищувати
sleep         | slept                   | slept                    | спати
slide         | slid                    | slid                     | ковзати, повзати, кататися
sling         | slung                   | slung                    | жбурляти, вішати через плече, підвішувати
slink         | slinked / slunk         | slinked / slunk          | крастися, підкрадатися, народжувати передчасно
slit          | slit                    | slit                     | розрізати, перерізати
smell         | smelled / smelt         | smelled / smelt          | пахнути, нюхати
smite         | smote                   | smitten                  | вражати, бити, мучити
sneak         | sneaked / snuck         | sneaked / snuck          | крастися, підкрадатися, красти, вислизати
sow           | sowed                   | sown / sowed             | сіяти, засівати, поширювати
speak         | spoke                   | spoken                   | говорити
speed         | sped / speeded          | sped / speeded           | поспішати, прискорювати, квапити
spell         | spelled / spelt         | spelled / spelt          | замовляти, зачаровувати; змінити, дати відпочинок; писати, вимовляти слово по буквах
spend         | spent                   | spent                    | витрачати, виснажувати
spill         | spilled / spilt         | spilled / spilt          | проливати, розливатися
spin          | spun                    | spun                     | прясти, крутити, вертіти, плести
spit          | spit / spat             | spit / spat              | плювати, пронизувати, насаджувати, бризкати, капати
spoil         | spoiled / spoilt        | spoiled / spoilt         | псувати, балувати
spread        | spread                  | spread                   | поширюватися, розстеляти
spring        | sprang / sprung         | sprung                   | стрибати, вскочити
stand         | stood                   | stood                    | стояти, бути розташованим
stave         | staved / stove          | staved / stove           | пробивати, розбивати
steal         | stole                   | stolen                   | красти, викрадати, домагатися
stick         | stuck                   | stuck                    | встромляти, колоти, приклеювати, липнути
sting         | stung                   | stung                    | жалити, заподіювати біль, обманювати
stink         | stunk / stank           | stunk                    | смердіти, погано пахнути; бути поганим
strew         | strewed                 | strewn / strewed         | усіяти, розкидати, посипати
stride        | strode                  | stridden                 | крокувати, сидіти верхи
strike        | struck                  | struck / stricken        | ударяти, вражати, страйкувати
string        | strung                  | strung                   | пов'язувати, натягувати, нанизувати
strive        | strove / strived        | striven / strived        | прагнути, намагатися, докладати зусилля, боротися
sublet        | sublet                  | sublet                   | передавати в суборенду
sunburn       | sunburned / sunburnt    | sunburned / sunburnt     | обгорати на сонці
swear         | swore                   | sworn                    | клястися, присягати, лаятися
sweat         | sweat / sweated         | sweat / sweated          | потіти, сиріти, пітніти
sweep         | swept                   | swept                    | мести, прочищати, змітати, мчати
swell         | swelled                 | swollen / swelled        | пухнути, роздуватися, набухати
swim          | swam                    | swum                     | плавати, плисти
swing         | swung                   | swung                    | качати, хитатися, розгойдувати, висіти
[T]
take          | took                    | taken                    | брати, взяти
teach         | taught                  | taught                   | навчати, вчити
tear          | tore                    | torn                     | рвати, зірвати, розірвати
telecast      | telecast                | telecast                 | передавати по телебаченню
tell          | told                    | told                     | говорити, розповідати, повідомляти
test-drive    | test-drove              | test-driven              | робити пробну поїздку, тестувати
test-fly      | test-flew               | test-flown               | випробовувати в літних умовах (літак)
think         | thought                 | thought                  | думати, розмірковувати
thrive        | throve / thrived        | thrived / thriven        | процвітати, цвісти, розростатися
throw         | threw                   | thrown                   | кидати, жбурляти
thrust        | thrust                  | thrust                   | колоти, засовувати, штовхати, лізти
tread         | trod                    | trodden / trod           | йти, ступати, топтати, давити
typecast      | typecast                | typecast                 | підбирати акторів по типажності
typeset       | typeset                 | typeset                  | набирати текст для друку, визначати тип
typewrite     | typewrote               | typewritten              | друкувати на друкарській машинці, набирати текст
[U]
unbend        | unbent                  | unbent                   | розгинатися, випростатися, пом'якшуватися
unbind        | unbound                 | unbound                  | розв'язати, розпускати, послаблювати
unclothe      | unclothed / unclad      | unclothed / unclad       | роздягатися, роздягати, оголювати
underbid      | underbid                | underbid                 | перебивати ціну, призначати нижчу ціну
undercut      | undercut                | undercut                 | підрізати, збивати ціни, робити підсічку
underfeed     | underfed                | underfed                 | недогодовувати, недоїдати
undergo       | underwent               | undergone                | відчувати, переносити
underlie      | underlay                | underlain                | підкреслювати, виділяти
undersell     | undersold               | undersold                | продавати дешевше інших
underspend    | underspent              | underspent               | витрачати недостатньо, дуже мало
understand    | understood              | understood               | розуміти, усвідомлювати
undertake     | undertook               | undertaken               | робити, гарантувати, здійснювати
underwrite    | underwrote              | underwritten             | підписувати, гарантувати, ручатися
undo          | undid                   | undone                   | розстібати, знищувати, скасовувати, розбирати
unfreeze      | unfroze                 | unfrozen                 | розморозити, розморожувати
unhang        | unhung                  | unhung                   | знімати (щось, що висить)
unhide        | unhid                   | unhidden                 | показувати приховані елементи
unknit        | unknitted / unknit      | unknitted / unknit       | розпускати (в'язання), розплутувати, роз'єднувати
unlearn       | unlearned / unlearnt    | unlearned / unlearnt     | розучитися, забути те, що знав
unsew         | unsewed                 | unsewn / unsewed         | розпорювати щось зшите
unsling       | unslung                 | unslung                  | відв'язувати, знімати, звільнити від ременя
unspin        | unspun                  | unspun                   | розпускати, розплітати, розплутувати
unstick       | unstuck                 | unstuck                  | віддирати, відклеювати, злетіти
unstring      | unstrung                | unstrung                 | знімати, послаблювати, розпускати, розплітати, розхитувати
unweave       | unwove / unweaved       | unwoven / unweaved       | розпускати, розплітати (тканину)
unwind        | unwound                 | unwound                  | расмативать, розкручувати, розвивати
uphold        | upheld                  | upheld                   | підтримувати, допомагати, утримувати
upset         | upset                   | upset                    | перекидати, засмучувати, засмучувати
[W]
wake          | woke / waked            | woken / waked            | будити, пробуджуватися
waylay        | waylaid                 | waylaid                  | підстерігати, влаштовувати засідку
wear          | wore                    | worn                     | носити одяг
weave         | wove / weaved           | woven / weaved           | ткати, плести
wed           | wed / wedded            | wed / wedded             | вінчати, видавати заміж, одружуватися, виходити заміж
weep          | wept                    | wept                     | плакати, тужити, пітніти
wet           | wet / wetted            | wet / wetted             | мочити, промочити, мокнути
win           | won                     | won                      | вигравати, перемагати
wind          | wound                   | wound                    | чуяти, дути, намотувати, заводити (механізм), звиватися
withdraw      | withdrew                | withdrawn                | брати назад, віднімати, відкликати, витягувати
withhold      | withheld                | withheld                 | утримуватися, утримувати, приховувати
withstand     | withstood               | withstood                | встояти, витримувати, чинити опір
wring         | wrung                   | wrung                    | викручувати, вижимати, звиватися, мучити
write         | wrote                   | written                  | писати
