"the";"ðiː/ðə";"означений артикль"
"keep";"kip";"зберігати/тримати"
"student";"ˈstudənt";"студент"
"why";"waɪ";"чому"
"let";"lɛt";"дозволяти"
"great";"ɡreɪt";"великий"
"same";"seɪm";"однаковий"
"big";"bɪɡ";"великий"
"group";"ɡrup";"група"
"begin";"bɪˈɡɪn";"починати"
"seem";"sim";"здаватися"
"country";"ˈkʌntri";"країна"
"help";"hɛlp";"допомагати/допомога"
"talk";"tɔk";"спілкуватися/балаканина"
"where";"wɛr";"де"
"turn";"tɜrn";"повертати"
"problem";"ˈprɒbləm";"проблема"
"every";"ˈɛvri";"кожен"
"start";"stɑrt";"починати"
"hand";"hænd";"рука"
"might";"maɪt";"може"
"American";"əˈmɛrɪkən";"американський/американець"
"show";"ʃoʊ";"показувати"
"part";"pɑrt";"частина"
"against";"əˈɡɛnst";"проти/навпроти"
"place";"pleɪs";"місце"
"such";"sʌʧ";"як/такий"
"again";"əˈɡɛn";"знову"
"few";"fju";"кілька"
"case";"keɪs";"випадок"
"week";"wik";"тиждень"
"company";"ˈkʌmpəni";"компанія"
"system";"ˈsɪstəm";"система"
"each";"iʧ";"кожен"
"right";"raɪt";"правильно/право"
"program";"ˈproʊˌɡræm";"програма"
"hear";"hir";"чути"
"question";"ˈkwɛʃən";"питання"
"during";"ˈdʊrɪŋ";"протягом"
"play";"pleɪ";"грати"
"government";"ˈɡʌvərnmənt";"уряд"
"run";"rʌn";"бігти"
"small";"smɔːl";"маленький"
"number";"ˈnʌmbər";"кількість"
"off";"ɔf";"від/із/геть/вимкнути"
"always";"ˈɔlˌweɪz";"завжди"
"move";"muv";"рухатися"
"night";"naɪt";"ніч"
"live";"laɪv";"жити"
"Mr";"ˈmɪstər";"містер"
"point";"pɔɪnt";"точка/крапка/точка зору"
"believe";"bɪˈliv";"вірити"
"hold";"hoʊld";"тримати"
"today";"tuˈdeɪ";"сьогодні"
"bring";"brɪŋ";"нести/принести"
"happen";"ˈhæpᵊn";"траплятися"
"next";"nɛkst";"наступного/далі"
"without";"wɪˈθaʊt";"без"
"before";"bɪˈfɔr";"раніше/перш ніж/до того як"
"large";"lɑrʤ";"великий"
"million";"ˈmɪljən";"мільйон"
"must";"mʌst";"повинен"
"home";"hoʊm";"хата/додому"
"under";"ˈʌndər";"під"
"water";"ˈwɔtər";"вода"
"room";"rum";"кімната"
"write";"raɪt";"писати"
"mother";"ˈmʌðər";"мати"
"area";"ˈɛriə";"місцевість/площа/територія"
"national";"ˈnæʃənəl";"національний"
"money";"ˈmʌni";"гроші"
"story";"ˈstɔri";"історія"
"young";"jʌŋ";"молодий"
"fact";"fækt";"факт"
"month";"mʌnθ";"місяць"
"different";"ˈdɪfərənt";"різний"
"lot";"lɔt";"багато"
"study";"ˈstʌdi";"вчити"
"book";"bʊk";"книга"
"eye";"aɪ";"очі"
"job";"ʤɒb";"робота"
"word";"wɜrd";"слово"
"though";"ðoʊ";"хоча"
"business";"ˈbɪznɪs";"бізнес"
"issue";"ˈɪʃu";"проблема"
"side";"saɪd";"сторона"
"kind";"kaɪnd";"вид/добрий"
"four";"fɔr";"чотири"
"head";"hɛd";"голова/глава"
"far";"fɑr";"далекий/далеко"
"black";"blæk";"чорний"
"long";"lɔŋ";"довгий/довго"
"both";"boʊθ";"обидва"
"little";"ˈlɪtᵊl";"маленький/трохи/мало"
"house";"haʊz";"хата"
"yes";"jɛs";"так"
"since";"sɪns";"з/відтоді"
"provide";"prəˈvaɪd";"постачати"
"service";"ˈsɜrvɪs";"сервіс"
"around";"əˈraʊnd";"навколо"
"friend";"frend";"друг/один"
"important";"ɪmˈpɔːrtᵊnt";"важливий"
"father";"ˈfɑðər";"батько"
"sit";"sɪt";"сидіти"
"away";"əˈweɪ";"поза/далеко/геть"
"until";"ʌnˈtɪl";"доти/до тих пір поки"
"power";"ˈpaʊər";"сила"
"hour";"aʊr";"година"
"game";"ɡeɪm";"гра"
"often";"ˈɔftən";"часто"
"yet";"jɛt";"досі"
"line";"laɪn";"лінія"
"political";"pəˈlɪtɪkᵊl";"політичний"
"end";"ɛnd";"кінець"
"among";"əˈmʌŋ";"серед"
"ever";"ˈɛvər";"завжди"
"stand";"stænd";"стояти"
"bad";"bæd";"поганий"
"lose";"luz";"втрачати/загубити"
"however";"ˌhaʊˈɛvər";"проте/однак"
"member";"ˈmɛmbər";"учасник"
"pay";"peɪ";"платити"
"law";"lɔ";"закон"
"meet";"miːt";"зустрічати"
"car";"kɑr";"автомобіль"
"city";"ˈsɪti";"місто"
"almost";"ˈɔlˌmoʊst";"майже"
"include";"ɪnˈklud";"включати"
"continue";"kənˈtɪnju";"продовжувати"
"set";"sɛt";"встановлювати/набір"
"later";"ˈleɪtər";"пізніше"
"community";"kəmˈjunəti";"співтовариство"
"name";"neɪm";"ім’я"
"five";"faɪv";"п’ять"
"once";"wʌns";"одного разу/колись"
"white";"waɪt";"білий"
"least";"list";"найменш"
"president";"ˈprɛzəˌdɛnt";"президент"
"learn";"lɜrn";"вчити"
"real";"riəl";"справжній"
"change";"ʧeɪnʤ";"змінювати"
"team";"tim";"команда"
"minute";"ˈmɪnɪt";"хвилина"
"best";"bɛst";"кращий/найкращий"
"several";"ˈsɛvᵊrᵊl";"кілька"
"idea";"aɪˈdiə";"ідея"
"kid";"kɪd";"дитина"
"body";"ˈbɒdi";"тіло"
"information";"ˌɪnfərˈmeɪʃən";"інформація"
"nothing";"ˈnʌθɪŋ";"нічого"
"ago";"əˈɡoʊ";"тому/назад"
"lead";"lid";"вести"
"social";"ˈsoʊʃəl";"соціальний"
"understand";"ˌʌndərˈstænd";"розуміти"
"whatever";"ˌwʌˈtɛvər";"без різниці/що-небудь/все одно"
"watch";"wɔʧ";"дивитися"
"together";"təˈɡɛðər";"разом"
"fellow";"ˈfɛloʊ";"людина/товариш"
"parent";"ˈpɛrənt";"батько"
"stop";"stɒp";"зупинятися"
"face";"feɪs";"особа/лице"
"anything";"ˈɛniˌθɪŋ";"що-небудь"
"create";"kriˈeɪt";"створювати"
"public";"ˈpʌblɪk";"громадський/публічний"
"already";"ɔlˈrɛdi";"вже"
"speak";"spik";"спілкуватися/говорити"
"others";"ˈʌðərz";"інші"
"read";"rid";"читати"
"level";"ˈlɛvəl";"рівень"
"allow";"əˈlaʊ";"дозволяти"
"add";"æd";"додавати"
"office";"ˈɒfɪs";"офіс"
"spend";"spɛnd";"проводити/витрачати"
"door";"dɔr";"двері"
"health";"hɛlθ";"здоров’я"
"person";"ˈpɜrsən";"людина"
"art";"ɑrt";"мистецтво"
"sure";"ʃʊr";"звісно"
"war";"wɔr";"війна"
"history";"ˈhɪstᵊri";"історія"
"party";"ˈpɑrti";"вечірка"
"within";"wɪˈðɪn";"в межах/в рамках"
"grow";"ɡroʊ";"рости"
"result";"rɪˈzʌlt";"результат"
"open";"ˈoʊpən";"відкривати/відкритий"
"morning";"ˈmɔrnɪŋ";"ранок"
"walk";"wɔːk";"гуляти/ходити"
"reason";"ˈrizən";"причина"
"low";"loʊ";"низький"
"win";"wɪn";"перемагати"
"research";"riˈsɜrʧ";"дослідження"
"girl";"ɡɜrl";"дівчинка"
"guy";"ɡaɪ";"хлопець"
"early";"ˈɜrli";"рано/початковий"
"food";"fud";"їжа"
"moment";"ˈmoʊmənt";"момент"
"himself";"hɪmˈsɛlf";"сам"
"air";"eɪr";"повітря"
"teacher";"ˈtiʧər";"учитель"
"force";"fɔrs";"сила/примушувати"
"offer";"ˈɔfər";"пропонувати"
"enough";"ɪˈnʌf";"досить"
"education";"ˌɛʤəˈkeɪʃən";"утворення"
"across";"əˈkrɔs";"через"
"although";"ˌɔlˈðoʊ";"хоча"
"remember";"rɪˈmɛmbər";"пам’ятати"
"second";"ˈsɛkənd";"другий"
"boy";"bɔɪ";"хлопчик"
"maybe";"ˈmeɪbi";"можливо"
"toward";"tɔrd";"до"
"able";"ˈeɪbl";"здатний"
"age";"eɪʤ";"вік"
"policy";"ˈpɒləsi";"політика"
"everything";"ˈɛvriˌθɪŋ";"усе"
"love";"lʌv";"кохання"
"process";"ˈprɑˌsɛs";"процес"
"music";"ˈmjuzɪk";"музика"
"including";"ɪnˈkludɪŋ";"включаючи"
"consider";"kənˈsɪdər";"розглядати"
"appear";"əˈpɪr";"з’являтися"
"actually";"ˈækʧuəli";"насправді"
"buy";"baɪ";"купувати"
"probably";"ˈprɒbəbli";"ймовірно"
"human";"ˈhjumən";"людина"
"wait";"weɪt";"чекати"
"serve";"sɜrv";"обслуговувати"
"market";"ˈmɑrkɪt";"ринок"
"die";"daɪ";"вмирати"
"send";"sɛnd";"відправляти"
"expect";"ɪkˈspɛkt";"очікувати"
"sense";"sɛns";"сенс"
"build";"bɪld";"будувати"
"stay";"steɪ";"залишатися"
"fall";"fɔːl";"падати"
"oh";"oʊ";"ох"
"nation";"ˈneɪʃən";"нація"
"plan";"plæn";"план"
"cut";"kʌt";"різати"
"college";"ˈkɒlɪdʒ";"коледж"
"interest";"ˈɪntərəst";"інтерес"
"death";"dɛθ";"смерть"
"course";"kɔrs";"курс/страва"
"someone";"ˈsʌmˌwʌn";"дехто/хтось"
"experience";"ɪkˈspɪriəns";"досвід"
"behind";"bɪˈhaɪnd";"ззаду/за/позаду"
"reach";"riʧ";"досягати"
"local";"ˈloʊkəl";"місцевий/локальний"
"kill";"kɪl";"вбивати"
"six";"sɪks";"шість"
"remain";"rɪˈmeɪn";"залишатися"
"effect";"əˈfɛkt";"впливати/ефект"
"yeah";"jæ";"так (розм.)"
"suggest";"səɡˈʤɛst";"пропонувати"
"class";"klæs";"клас"
"control";"kənˈtroʊl";"контроль"
"raise";"reɪz";"рости"
"care";"kɛr";"турбота/піклуватися"
"perhaps";"pərˈhæps";"можливо"
"late";"leɪt";"пізній"
"hard";"hɑrd";"важкий/складний"
"field";"fild";"поле"
"else";"ɛls";"інший/інакше"
"pass";"pæs";"проходити/перепустка"
"former";"ˈfɔrmər";"колишній"
"sell";"sɛl";"продавати"
"major";"ˈmeɪʤər";"основний"
"sometimes";"ˈsʌmˌtaɪmz";"іноді/інколи"
"require";"riˈkwaɪr";"вимагати"
"along";"əˈlɔŋ";"разом/вздовж"
"development";"dɪˈvɛləpmənt";"розвиток/розробка"
"themselves";"ðɛmˈsɛlvz";"самі"
"report";"rɪˈpɔrt";"доповідати/звіт"
"role";"roʊl";"роль"
"better";"ˈbɛtər";"краще"
"economic";"ˌekəˈnɒmɪk";"економічний/господарський"
"effort";"ˈɛfərt";"зусилля/старання/намагання"
"decide";"ˌdɪˈsaɪd";"вирішувати"
"rate";"reɪt";"темп/швидкість"
"strong";"strɔŋ";"сильний"
"possible";"ˈpɒsəbl";"можливий"
"heart";"hɑrt";"серце"
"drug";"drʌɡ";"ліки/наркотик"
"leader";"ˈlidər";"лідер"
"light";"laɪt";"світло"
"voice";"vɔɪs";"голос"
"wife";"waɪf";"дружина"
"whole";"hoʊl";"цілий"
"police";"pɔˈlis";"поліція"
"mind";"maɪnd";"розум"
"finally";"ˈfaɪnəli";"нарешті"
"pull";"pʊl";"тягнути"
"return";"rɪˈtɜrn";"повертатися/повернути"
"free";"fri";"безкоштовний/вільний"
"military";"ˈmɪlɪˌtɛri";"військовий"
"price";"praɪs";"ціна"
"less";"lɛs";"менше/менший"
"according";"əˈkɔrdɪŋ";"відповідно/згідно"
"decision";"dɪˈsɪʒən";"рішення"
"explain";"ɪkˈspleɪn";"пояснювати"
"son";"sʌn";"син"
"hope";"hoʊp";"сподіватися/надія"
"develop";"dɪˈvɛləp";"розвивати"
"view";"vju";"бачення/вигляд"
"relationship";"riˈleɪʃənˌʃɪp";"відношення/стосунки"
"carry";"ˈkɛri";"нести"
"town";"taʊn";"місто"
"road";"roʊd";"дорога"
"drive";"draɪv";"водити"
"arm";"ɑrm";"рука"
"true";"tru";"правильний"
"federal";"ˈfɛdərəl";"федеральний"
"break";"breɪk";"ламати/перерва"
"difference";"ˈdɪfərəns";"різниця"
"thank";"θæŋk";"подяку"
"receive";"rəˈsiv";"отримувати"
"value";"ˈvælju";"значення"
"international";"ˌɪntərˈnæʃənəl";"міжнародний"
"building";"ˈbɪldɪŋ";"споруда/будівля"
"action";"ˈækʃən";"дія"
"full";"fʊl";"повний"
"model";"ˈmɒdəl";"модель/зразок"
"join";"ʤɔɪn";"приєднуватися"
"season";"ˈsizən";"сезон"
"society";"səˈsaɪəti";"суспільство"
"tax";"tæks";"податок"
"director";"dɪˈrɛktər";"директор"
"position";"pəˈzɪʃən";"позиція/посада"
"player";"ˈpleɪər";"гравець"
"agree";"əˈɡri";"погоджуватися"
"especially";"əˈspɛʃli";"особливо"
"record";"rɪˈkɔːrd";"записувати"
"pick";"pɪk";"вибирати"
"wear";"wɛr";"носити одяг/зношення"
"paper";"ˈpeɪpər";"папір"
"special";"ˈspɛʃəl";"спеціально"
"space";"speɪs";"простір"
"ground";"ɡraʊnd";"земля"
"form";"fɔrm";"форма/формувати"
"support";"səˈpɔrt";"підтримка/допомога"
"event";"ɪˈvɛnt";"подія"
"official";"əˈfɪʃəl";"офіційний"
"whose";"huz";"чий"
"matter";"ˈmætər";"мати значення/справа/питання"
"everyone";"ˈɛvriˌwʌn";"всі"
"center";"ˈsɛntər";"центр"
"couple";"ˈkʌpəl";"пара"
"site";"saɪt";"сайт"
"project";"ˈprɒʤekt";"проект"
"hit";"hɪt";"вражати (мета)/влучити"
"base";"beɪs";"основа/база"
"activity";"ækˈtɪvɪti";"заняття/діяльність"
"star";"stɑr";"зірка"
"table";"ˈteɪbəl";"стіл"
"court";"kɔrt";"корт/суд"
"produce";"prəˈdus";"виробляти"
"eat";"it";"їсти"
"teach";"tiʧ";"викладати/навчати"
"oil";"ɔɪl";"масло"
"half";"hæf";"половина"
"situation";"ˌsɪʧuˈeɪʃən";"ситуація"
"easy";"ˈizi";"легко"
"cost";"kɔst";"вартість"
"industry";"ˈɪndəstri";"індустрія"
"figure";"ˈfɪɡjər";"фігура"
"street";"strit";"вулиця"
"image";"ˈɪmɪʤ";"зображення"
"itself";"ɪtˈsɛlf";"саме"
"phone";"foʊn";"телефон"
"either";"ˈiðər";"або"
"data";"ˈdætə";"дані"
"cover";"ˈkʌvər";"покривати"
"quite";"kwaɪt";"досить"
"picture";"ˈpɪkʧər";"картинка"
"clear";"klɪr";"чисто"
"practice";"ˈpræktɪs";"практика"
"piece";"pis";"шматок/частина"
"land";"lænd";"земля"
"recent";"ˈrisənt";"недавній"
"describe";"dɪˈskraɪb";"описувати"
"product";"ˈprɒdʌkt";"продукт"
"doctor";"ˈdɔktər";"доктор"
"wall";"wɔl";"стіна"
"patient";"ˈpeɪʃənt";"пацієнт"
"worker";"ˈwɜrkər";"робочий/робітник"
"news";"nuz";"новини"
"test";"tɛst";"тест"
"movie";"ˈmuvi";"фільм"
"certain";"ˈsɜrtən";"певний"
"north";"nɔrθ";"північ"
"personal";"ˈpɜrsənəl";"особистий"
"simply";"ˈsɪmpli";"легко"
"third";"θɜrd";"третій"
"technology";"tekˈnɒləʤi";"технологія"
"catch";"kæʧ";"ловити"
"step";"stɛp";"крок"
"baby";"ˈbeɪbi";"немовля"
"computer";"kəmˈpjutər";"комп’ютер"
"type";"taɪp";"тип"
"attention";"əˈtɛnʃən";"увага"
"draw";"drɔ";"малювати"
"film";"fɪlm";"фільм"
"Republican";"rɪˈpʌblɪkən";"республіканець"
"tree";"tri";"дерево"
"source";"sɔrs";"джерело"
"red";"rɛd";"червоний"
"nearly";"ˈnɪrli";"приблизно"
"organization";"ˌɔrɡənəˈzeɪʃən";"організація"
"choose";"ʧuz";"вибирати"
"cause";"kɔz";"причина"
"hair";"hɛr";"волосся"
"century";"ˈsɛnʧəri";"століття"
"evidence";"ˈɛvədəns";"докази"
"window";"ˈwɪndoʊ";"вікно"
"difficult";"ˈdɪfəkəlt";"складний"
"listen";"ˈlɪsən";"слухати"
"soon";"sun";"скоро"
"culture";"ˈkʌlʧər";"культура"
"billion";"ˈbɪljən";"мільярд"
"chance";"ʧæns";"шанс"
"brother";"ˈbrʌðər";"брат"
"energy";"ˈɛnərʤi";"енергія"
"period";"ˈpɪriəd";"період"
"summer";"ˈsʌmər";"літо"
"realize";"ˈriəˌlaɪz";"реалізовувати"
"hundred";"ˈhʌndrəd";"сто"
"available";"əˈveɪləbl";"доступний"
"plant";"plænt";"рослина"
"likely";"ˈlaɪkli";"ймовірно"
"opportunity";"ˌɒpərˈtunəti";"можливість"
"term";"tɜrm";"термін"
"short";"ʃɔrt";"короткий"
"letter";"ˈlɛtər";"лист"
"condition";"kənˈdɪʃən";"стан"
"choice";"ʧɔɪs";"вибір"
"single";"ˈsɪŋɡəl";"один/самотній"
"rule";"rul";"правило"
"daughter";"ˈdɔtər";"дочка"
"administration";"ædˌmɪnɪˈstreɪʃən";"адміністрація"
"south";"saʊθ";"південь"
"husband";"ˈhʌzbənd";"чоловік"
"congress";"ˈkɒŋɡres";"конгрес"
"floor";"flɔr";"підлога/поверх"
"campaign";"kæmˈpeɪn";"кампанія"
"material";"məˈtɪriəl";"матеріал"
"population";"ˌpɒpjəˈleɪʃən";"населення/популяція"
"economy";"iˈkɒnəmi";"економіка"
"medical";"ˈmɛdɪkəl";"медичний"
"hospital";"ˈhɒˌspɪtəl";"лікарня"
"church";"ʧɜrʧ";"церква"
"close";"kloʊs";"закривати/близький"
"thousand";"ˈθaʊzənd";"тисяча"
"risk";"rɪsk";"ризик"
"current";"ˈkɜrənt";"поточний"
"fire";"ˈfaɪər";"вогонь"
"future";"ˈfjuʧər";"майбутнє"
"wrong";"rɔŋ";"неправильний"
"involve";"ɪnˈvɒlv";"включати"
"defense";"dɪˈfɛns";"захист"
"anyone";"ˈɛniˌwʌn";"хто-небудь"
"increase";"ˈɪnˌkris";"збільшувати"
"security";"sɪˈkjʊrəti";"безпека"
"bank";"bæŋk";"банк"
"myself";"ˌmaɪˈsɛlf";"сам"
"certainly";"ˈsɜrtənli";"безперечно/звичайно"
"west";"wɛst";"захід"
"sport";"spɔrt";"спорт"
"board";"bɔrd";"борт/дошка"
"seek";"sik";"шукати"
"per";"pɜr";"за"
"subject";"ˈsʌbʤɛkt";"предмет/тема"
"officer";"ˈɔfɪsər";"офіцер"
"private";"ˈpraɪvət";"приватний"
"rest";"rɛst";"відпочинок"
"behaviour";"bɪˈheɪvjer";"поведінка"
"deal";"dil";"угода/справа"
"performance";"pərˈfɔrməns";"виконання/продуктивність"
"fight";"faɪt";"битися"
"throw";"θroʊ";"кидок"
"top";"tɔp";"верх/топ"
"quickly";"ˈkwɪkli";"швидко"
"past";"pæst";"минуле"
"goal";"ɡoʊl";"мета"
"bed";"bɛd";"ліжко"
"order";"ˈɔrdər";"наказ/замовлення/порядок"
"author";"ˈɔθər";"автор"
"fill";"fɪl";"заповнювати"
"represent";"ˌrɛprəˈzɛnt";"представляти"
"focus";"ˈfoʊkəs";"фокус"
"foreign";"ˈfɔrən";"іноземний"
"drop";"drɔp";"падати"
"blood";"blʌd";"кров"
"upon";"əˈpɒn";"на/по"
"agency";"ˈeɪʤənsi";"агентство"
"push";"pʊʃ";"штовхати"
"nature";"ˈneɪʧər";"природа"
"color";"ˈkʌlər";"колір"
"recently";"ˈrisəntli";"нещодавно"
"store";"stɔr";"магазин"
"reduce";"rɪˈdus";"знижувати"
"sound";"saʊnd";"звук/звучати"
"note";"noʊt";"позначка/нота"
"fine";"faɪn";"відмінно/добре"
"near";"nɪr";"близько"
"movement";"ˈmuvmənt";"рух"
"page";"peɪʤ";"сторінка"
"enter";"ˈɛntər";"входити"
"share";"ʃɛr";"ділитися"
"common";"ˈkɒmən";"загальний"
"poor";"pur";"бідний"
"natural";"ˈnæʧərəl";"природний"
"race";"reɪs";"гонка"
"concern";"kənˈsɜrn";"занепокоєння"
"series";"ˈsɪriz";"серія"
"significant";"sɪɡˈnɪfɪkənt";"значний"
"similar";"ˈsɪmələr";"схожий"
"hot";"hɒt";"гарячий"
"language";"ˈlæŋɡwɪʤ";"мова"
"usually";"ˈjuʒəli";"зазвичай"
"response";"rɪˈspɒns";"відповідь"
"dead";"dɛd";"мертвий"
"rise";"raɪz";"зростати"
"animal";"ˈænɪmᵊl";"тварина"
"factor";"ˈfæktər";"фактор/чинник"
"decade";"dɛˈkeɪd";"десятиліття"
"article";"ˈɑrtɪkəl";"стаття"
"shoot";"ʃut";"стріляти"
"east";"ist";"схід"
"save";"seɪv";"зберігати"
"seven";"ˈsɛvən";"сім"
"artist";"ˈɑrtɪst";"художник/артист"
"scene";"sin";"сцена"
"stock";"stɒk";"запас/склад"
"career";"kəˈrɪr";"кар’єра"
"despite";"dɪˈspaɪt";"незважаючи на"
"central";"ˈsɛntrəl";"центральний"
"eight";"eɪt";"вісім"
"thus";"ðʌs";"таким чином"
"treatment";"ˈtritmənt";"лікування"
"beyond";"biˈjɒnd";"за/поза/за межами"
"happy";"ˈhæpi";"щасливий"
"exactly";"ɪɡˈzæktli";"точно"
"protect";"prəˈtɛkt";"захищати"
"approach";"əˈproʊʧ";"наближення/підхід"
"lie";"laɪ";"брехати"
"size";"saɪz";"розмір"
"dog";"dɔɡ";"собака"
"fund";"fʌnd";"фонд"
"serious";"ˈsɪriəs";"серйозний"
"occur";"əˈkɜr";"відбуватися"
"media";"ˈmidiə";"медіа/ЗМІ"
"ready";"ˈrɛdi";"готовий"
"sign";"saɪn";"знак/підпис"
"list";"lɪst";"перелік/список"
"individual";"ˌɪndəˈvɪʤulə";"індивідуальний"
"simple";"ˈsɪmpᵊl";"простий"
"quality";"ˈkwɒləti";"якість"
"pressure";"ˈprɛʃər";"тиск"
"accept";"ækˈsɛpt";"приймати"
"answer";"ˈænsər";"відповідь"
"resource";"ˈrisɔrs";"ресурс"
"identify";"aɪˈdɛntəˌfaɪ";"ідентифікувати"
"left";"lɛft";"залишати"
"meeting";"ˈmitɪŋ";"зустріч"
"determine";"dəˈtɜrmən";"визначати"
"prepare";"priˈpɛr";"готувати"
"decease";"dɪˈsis";"хвороба/смерть"
"success";"səkˈsɛs";"успіх"
"argue";"ˈɑrɡju";"суперечка"
"cup";"kʌp";"чашка"
"particularly";"pərˈtɪkjələrli";"особливо/зокрема"
"amount";"əˈmaʊnt";"сума/кількість"
"ability";"əˈbɪləti";"можливість/здатність"
"staff";"stæf";"персонал"
"recognize";"ˈrɛkəɡˌnaɪz";"дізнаватися"
"indicate";"ˈɪndəˌkeɪt";"вказувати на"
"character";"ˈkɛrəktər";"персонаж/характер"
"growth";"ɡroʊθ";"зріст"
"loss";"lɔs";"збиток/втрата"
"degree";"dɪˈɡri";"ступінь"
"wonder";"ˈwʌndər";"дивуватися"
"attack";"əˈtæk";"атака"
"herself";"hərˈsɛlf";"сама"
"region";"ˈriʤən";"регіон"
"television";"ˈtɛləˌvɪʒən";"телебачення"
"box";"bɒks";"коробка"
"TV";"ˈtiˈvi";"ТБ"
"training";"ˈtreɪnɪŋ";"тренування"
"pretty";"ˈprɪti";"гарний"
"trade";"treɪd";"торговий"
"election";"ɪˈlɛkʃən";"вибори"
"everybody";"ˈɛvriˌbɒdi";"кожен"
"physical";"ˈfɪzɪkəl";"фізичний"
"lay";"leɪ";"лежати"
"general";"ˈʤɛnərəl";"загальний/генеральний"
"feeling";"ˈfilɪŋ";"почуття"
"standard";"ˈstændərd";"стандарт"
"bill";"bɪl";"рахунок"
